inning,half,score_diff,outs,base_state,wp
1,bottom,-8,2,2,0.0201
1,bottom,-8,2,3,0.0205
1,bottom,-8,2,4,0.0201
1,bottom,-8,2,5,0.0205
1,bottom,-8,2,6,0.0205
1,bottom,-8,2,7,0.0209
1,bottom,-7,0,0,0.0374
1,bottom,-7,0,1,0.0381
1,bottom,-7,0,2,0.0381
1,bottom,-7,0,3,0.0389
1,bottom,-7,0,4,0.0381
1,bottom,-7,0,5,0.0389
1,bottom,-7,0,6,0.0389
1,bottom,-7,0,7,0.0396
1,bottom,-7,1,0,0.0356
1,bottom,-7,1,1,0.0363
1,bottom,-7,1,2,0.0363
1,bottom,-7,1,3,0.037
1,bottom,-7,1,4,0.0363
1,bottom,-7,1,5,0.037
1,bottom,-7,1,6,0.037
1,bottom,-7,1,7,0.0378
1,bottom,-7,2,0,0.034
1,bottom,-7,2,1,0.0346
1,bottom,-7,2,2,0.0346
1,bottom,-7,2,3,0.0353
1,bottom,-7,2,4,0.0346
1,bottom,-7,2,5,0.0353
1,bottom,-7,2,6,0.0353
1,bottom,-7,2,7,0.036
1,bottom,-6,0,0,0.0623
1,bottom,-6,0,1,0.0634
1,bottom,-6,0,2,0.0634
1,bottom,-6,0,3,0.0646
1,bottom,-6,0,4,0.0634
1,bottom,-6,0,5,0.0646
1,bottom,-6,0,6,0.0646
1,bottom,-6,0,7,0.0659
1,bottom,-6,1,0,0.0594
1,bottom,-6,1,1,0.0605
1,bottom,-6,1,2,0.0605
1,bottom,-6,1,3,0.0617
1,bottom,-6,1,4,0.0605
1,bottom,-6,1,5,0.0617
1,bottom,-6,1,6,0.0617
1,bottom,-6,1,7,0.0629
1,bottom,-6,2,0,0.0567
1,bottom,-6,2,1,0.0578
1,bottom,-6,2,2,0.0578
1,bottom,-6,2,3,0.0589
1,bottom,-6,2,4,0.0578
1,bottom,-6,2,5,0.0589
1,bottom,-6,2,6,0.0589
1,bottom,-6,2,7,0.06
1,bottom,-5,0,0,0.0998
1,bottom,-5,0,1,0.1016
1,bottom,-5,0,2,0.1016
1,bottom,-5,0,3,0.1034
1,bottom,-5,0,4,0.1016
1,bottom,-5,0,5,0.1034
1,bottom,-5,0,6,0.1034
1,bottom,-5,0,7,0.1053
1,bottom,-5,1,0,0.0953
1,bottom,-5,1,1,0.0971
1,bottom,-5,1,2,0.0971
1,bottom,-5,1,3,0.0989
1,bottom,-5,1,4,0.0971
1,bottom,-5,1,5,0.0989
1,bottom,-5,1,6,0.0989
1,bottom,-5,1,7,0.1007
1,bottom,-5,2,0,0.0911
1,bottom,-5,2,1,0.0928
1,bottom,-5,2,2,0.0928
1,bottom,-5,2,3,0.0945
1,bottom,-5,2,4,0.0928
1,bottom,-5,2,5,0.0945
1,bottom,-5,2,6,0.0945
1,bottom,-5,2,7,0.0962
1,bottom,-4,0,0,0.1529
1,bottom,-4,0,1,0.1555
1,bottom,-4,0,2,0.1555
1,bottom,-4,0,3,0.1582
1,bottom,-4,0,4,0.1555
1,bottom,-4,0,5,0.1582
1,bottom,-4,0,6,0.1582
1,bottom,-4,0,7,0.1608
1,bottom,-4,1,0,0.1465
1,bottom,-4,1,1,0.1491
1,bottom,-4,1,2,0.1491
1,bottom,-4,1,3,0.1516
1,bottom,-4,1,4,0.1491
1,bottom,-4,1,5,0.1516
1,bottom,-4,1,6,0.1516
1,bottom,-4,1,7,0.1542
1,bottom,-4,2,0,0.1404
1,bottom,-4,2,1,0.1428
1,bottom,-4,2,2,0.1428
1,bottom,-4,2,3,0.1453
1,bottom,-4,2,4,0.1428
1,bottom,-4,2,5,0.1453
1,bottom,-4,2,6,0.1453
1,bottom,-4,2,7,0.1478
1,bottom,-3,0,0,0.223
1,bottom,-3,0,1,0.2265
1,bottom,-3,0,2,0.2265
1,bottom,-3,0,3,0.2301
1,bottom,-3,0,4,0.2265
1,bottom,-3,0,5,0.2301
1,bottom,-3,0,6,0.2301
1,bottom,-3,0,7,0.2336
1,bottom,-3,1,0,0.2145
1,bottom,-3,1,1,0.2179
1,bottom,-3,1,2,0.2179
1,bottom,-3,1,3,0.2213
1,bottom,-3,1,4,0.2179
1,bottom,-3,1,5,0.2213
1,bottom,-3,1,6,0.2213
1,bottom,-3,1,7,0.2248
1,bottom,-3,2,0,0.2062
1,bottom,-3,2,1,0.2095
1,bottom,-3,2,2,0.2095
1,bottom,-3,2,3,0.2128
1,bottom,-3,2,4,0.2095
1,bottom,-3,2,5,0.2128
1,bottom,-3,2,6,0.2128
1,bottom,-3,2,7,0.2162
1,bottom,-2,0,0,0.3083
1,bottom,-2,0,1,0.3126
1,bottom,-2,0,2,0.3126
1,bottom,-2,0,3,0.3169
1,bottom,-2,0,4,0.3126
1,bottom,-2,0,5,0.3169
1,bottom,-2,0,6,0.3169
1,bottom,-2,0,7,0.3213
1,bottom,-2,1,0,0.2978
1,bottom,-2,1,1,0.302
1,bottom,-2,1,2,0.302
1,bottom,-2,1,3,0.3062
1,bottom,-2,1,4,0.302
1,bottom,-2,1,5,0.3062
1,bottom,-2,1,6,0.3062
1,bottom,-2,1,7,0.3105
1,bottom,-2,2,0,0.2874
1,bottom,-2,2,1,0.2915
1,bottom,-2,2,2,0.2915
1,bottom,-2,2,3,0.2957
1,bottom,-2,2,4,0.2915
1,bottom,-2,2,5,0.2957
1,bottom,-2,2,6,0.2957
1,bottom,-2,2,7,0.2999
1,bottom,-1,0,0,0.4032
1,bottom,-1,0,1,0.4081
1,bottom,-1,0,2,0.4081
1,bottom,-1,0,3,0.4129
1,bottom,-1,0,4,0.4081
1,bottom,-1,0,5,0.4129
1,bottom,-1,0,6,0.4129
1,bottom,-1,0,7,0.4178
1,bottom,-1,1,0,0.3913
1,bottom,-1,1,1,0.396
1,bottom,-1,1,2,0.396
1,bottom,-1,1,3,0.4008
1,bottom,-1,1,4,0.396
1,bottom,-1,1,5,0.4008
1,bottom,-1,1,6,0.4008
1,bottom,-1,1,7,0.4056
1,bottom,-1,2,0,0.3794
1,bottom,-1,2,1,0.3841
1,bottom,-1,2,2,0.3841
1,bottom,-1,2,3,0.3889
1,bottom,-1,2,4,0.3841
1,bottom,-1,2,5,0.3889
1,bottom,-1,2,6,0.3889
1,bottom,-1,2,7,0.3936
1,bottom,0,0,0,0.5
1,bottom,0,0,1,0.505
1,bottom,0,0,2,0.505
1,bottom,0,0,3,0.51
1,bottom,0,0,4,0.505
1,bottom,0,0,5,0.51
1,bottom,0,0,6,0.51
1,bottom,0,0,7,0.515
1,bottom,0,1,0,0.4875
1,bottom,0,1,1,0.4925
1,bottom,0,1,2,0.4925
1,bottom,0,1,3,0.4975
1,bottom,0,1,4,0.4925
1,bottom,0,1,5,0.4975
1,bottom,0,1,6,0.4975
1,bottom,0,1,7,0.5025
1,bottom,0,2,0,0.475
1,bottom,0,2,1,0.48
1,bottom,0,2,2,0.48
1,bottom,0,2,3,0.485
1,bottom,0,2,4,0.48
1,bottom,0,2,5,0.485
1,bottom,0,2,6,0.485
1,bottom,0,2,7,0.49
1,bottom,1,0,0,0.591
1,bottom,1,0,1,0.5958
1,bottom,1,0,2,0.5958
1,bottom,1,0,3,0.6006
1,bottom,1,0,4,0.5958
1,bottom,1,0,5,0.6006
1,bottom,1,0,6,0.6006
1,bottom,1,0,7,0.6054
1,bottom,1,1,0,0.5788
1,bottom,1,1,1,0.5837
1,bottom,1,1,2,0.5837
1,bottom,1,1,3,0.5886
1,bottom,1,1,4,0.5837
1,bottom,1,1,5,0.5886
1,bottom,1,1,6,0.5886
1,bottom,1,1,7,0.5934
1,bottom,1,2,0,0.5666
1,bottom,1,2,1,0.5715
1,bottom,1,2,2,0.5715
1,bottom,1,2,3,0.5764
1,bottom,1,2,4,0.5715
1,bottom,1,2,5,0.5764
1,bottom,1,2,6,0.5764
1,bottom,1,2,7,0.5813
1,bottom,2,0,0,0.6708
1,bottom,2,0,1,0.6752
1,bottom,2,0,2,0.6752
1,bottom,2,0,3,0.6796
1,bottom,2,0,4,0.6752
1,bottom,2,0,5,0.6796
1,bottom,2,0,6,0.6796
1,bottom,2,0,7,0.684
1,bottom,2,1,0,0.6597
1,bottom,2,1,1,0.6642
1,bottom,2,1,2,0.6642
1,bottom,2,1,3,0.6686
1,bottom,2,1,4,0.6642
1,bottom,2,1,5,0.6686
1,bottom,2,1,6,0.6686
1,bottom,2,1,7,0.673
1,bottom,2,2,0,0.6484
1,bottom,2,2,1,0.6529
1,bottom,2,2,2,0.6529
1,bottom,2,2,3,0.6575
1,bottom,2,2,4,0.6529
1,bottom,2,2,5,0.6575
1,bottom,2,2,6,0.6575
1,bottom,2,2,7,0.662
1,bottom,3,0,0,0.7373
1,bottom,3,0,1,0.7412
1,bottom,3,0,2,0.7412
1,bottom,3,0,3,0.745
1,bottom,3,0,4,0.7412
1,bottom,3,0,5,0.745
1,bottom,3,0,6,0.745
1,bottom,3,0,7,0.7488
1,bottom,3,1,0,0.7275
1,bottom,3,1,1,0.7315
1,bottom,3,1,2,0.7315
1,bottom,3,1,3,0.7354
1,bottom,3,1,4,0.7315
1,bottom,3,1,5,0.7354
1,bottom,3,1,6,0.7354
1,bottom,3,1,7,0.7392
1,bottom,3,2,0,0.7175
1,bottom,3,2,1,0.7215
1,bottom,3,2,2,0.7215
1,bottom,3,2,3,0.7255
1,bottom,3,2,4,0.7215
1,bottom,3,2,5,0.7255
1,bottom,3,2,6,0.7255
1,bottom,3,2,7,0.7295
1,bottom,4,0,0,0.7905
1,bottom,4,0,1,0.7938
1,bottom,4,0,2,0.7938
1,bottom,4,0,3,0.7971
1,bottom,4,0,4,0.7938
1,bottom,4,0,5,0.7971
1,bottom,4,0,6,0.7971
1,bottom,4,0,7,0.8003
1,bottom,4,1,0,0.7821
1,bottom,4,1,1,0.7855
1,bottom,4,1,2,0.7855
1,bottom,4,1,3,0.7888
1,bottom,4,1,4,0.7855
1,bottom,4,1,5,0.7888
1,bottom,4,1,6,0.7888
1,bottom,4,1,7,0.7922
1,bottom,4,2,0,0.7735
